AGENCIA;NOME;CPF;CONTA;ATIVO
1010;JOÃO SILVA;12345678901;0001234-5;Sim
1020;MARIA OLIVEIRA;98765432100;0005678-9;Não
1010;MARIA OLIVEIRA;98765432100;0005678-9;Não
1010;CARLOS SOUZA;23456789012;0001122-3;Sim
1030;ANA PEREIRA;34567890123;0003344-5;Sim
1030;JOSE LIMA;45678901234;0007788-1;Não
1040;FABIO ALMEIDA;56789012345;0009988-0;Sim
1020;BEATRIZ COSTA;67890123456;0004455-6;Não
1040;GABRIELA SANTOS;78901234567;0006677-4;Sim
1030;GABRIELA SANTOS;78901234567;0006677-4;Sim
1020;PEDRO HENRIQUE;89012345678;0005566-7;Não
